ticket_key,key,device_name,location,health_state,offline_since,offline_hours_at_creation,ticket_state,ticket_id,email_to,email_subject,created_at,email_sent_at,resolved_at,resolution,asset_status,resolution_notes,last_error
00:01:4A:2F:BF:C6|2026-03-05T19:39:57+00:00,00:01:4A:2F:BF:C6,Hill Mem - Rm 201,,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Hill Mem - Rm 201 (Unknown location),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:03:C5:04:A4:5C|2026-03-05T19:39:57+00:00,00:03:C5:04:A4:5C,MOBOTIX-D12D-IT,,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: MOBOTIX-D12D-IT (Unknown location),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:44:94:54|2026-03-05T19:39:57+00:00,00:18:85:44:94:54,LETC - Elev 1,LETC,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: LETC - Elev 1 (LETC),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:44:94:8D|2026-03-05T19:39:57+00:00,00:18:85:44:94:8D,Union - Service Elevator,Student Union,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Union - Service Elevator (Student Union),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:45:8E:13|2026-03-05T19:39:57+00:00,00:18:85:45:8E:13,NGA Garage - 2F Ramp Bottom,Nicholson Gateway Garage,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: NGA Garage - 2F Ramp Bottom (Nicholson Gateway Garage),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:45:8E:C6|2026-03-05T19:39:57+00:00,00:18:85:45:8E:C6,The 459 Loading Dock,The 459 Dining Hall,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: The 459 Loading Dock (The 459 Dining Hall),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:45:90:2E|2026-03-05T19:39:57+00:00,00:18:85:45:90:2E,AFSB - S Wall,Animal Food Science Building,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: AFSB - S Wall (Animal Food Science Building),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:45:91:09|2026-03-05T19:39:57+00:00,00:18:85:45:91:09,P&T - Greek Row S Lot,Parking & Transportation,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: P&T - Greek Row S Lot (Parking & Transportation),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:45:91:60|2026-03-05T19:39:57+00:00,00:18:85:45:91:60,NGA Garage - 1F East,Nicholson Gateway Garage,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: NGA Garage - 1F East (Nicholson Gateway Garage),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:45:91:A9|2026-03-05T19:39:57+00:00,00:18:85:45:91:A9,E Lakeshore House - SW Corner,E Lakeshore House,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: E Lakeshore House - SW Corner (E Lakeshore House),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:45:9E:24|2026-03-05T19:39:57+00:00,00:18:85:45:9E:24,P&T - Touchdown Village West - Cam 2,Parking & Transportation,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: P&T - Touchdown Village West - Cam 2 (Parking & Transportation),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:45:A9:FF|2026-03-05T19:39:57+00:00,00:18:85:45:A9:FF,Levee Cam,Levee @ Skip Bertman,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Levee Cam (Levee @ Skip Bertman),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:46:55:ED|2026-03-05T19:39:57+00:00,00:18:85:46:55:ED,HP Long - Atrium,Huey P Long Fieldhouse,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: HP Long - Atrium (Huey P Long Fieldhouse),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:46:7C:48|2026-03-05T19:39:57+00:00,00:18:85:46:7C:48,HP Long - NE Corner,Huey P Long Fieldhouse,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: HP Long - NE Corner (Huey P Long Fieldhouse),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:46:7F:31|2026-03-05T19:39:57+00:00,00:18:85:46:7F:31,HP Long - S Entrance,Huey P Long Fieldhouse,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: HP Long - S Entrance (Huey P Long Fieldhouse),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:49:BB:54|2026-03-05T19:39:57+00:00,00:18:85:49:BB:54,Highland - 1F Main Hallway,Highland Hall,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Highland - 1F Main Hallway (Highland Hall),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:49:C8:78|2026-03-05T19:39:57+00:00,00:18:85:49:C8:78,Union - 2F Main Ent W (West),Student Union,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Union - 2F Main Ent W (West) (Student Union),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:4F:11:C9|2026-03-05T19:39:57+00:00,00:18:85:4F:11:C9,HP Long - E Exterior,HP Long Fieldhouse,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: HP Long - E Exterior (HP Long Fieldhouse),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:51:61:B3|2026-03-05T19:39:57+00:00,00:18:85:51:61:B3,Miller - 4F East Hallway,Miller Hall,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Miller - 4F East Hallway (Miller Hall),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:5C:5B:30|2026-03-05T19:39:57+00:00,00:18:85:5C:5B:30,U-High - 1F Elem Hall South,U-High School,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: U-High - 1F Elem Hall South (U-High School),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:5D:C6:91|2026-03-05T19:39:57+00:00,00:18:85:5D:C6:91,LETC - NW Corner,LETC,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: LETC - NW Corner (LETC),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:5D:C6:FF|2026-03-05T19:39:57+00:00,00:18:85:5D:C6:FF,LETC - SE Corner,LETC,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: LETC - SE Corner (LETC),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:5D:C7:A1|2026-03-05T19:39:57+00:00,00:18:85:5D:C7:A1,LETC - NE Corner,LETC,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: LETC - NE Corner (LETC),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:5D:C8:33|2026-03-05T19:39:57+00:00,00:18:85:5D:C8:33,LETC - SW Corner,LETC,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: LETC - SW Corner (LETC),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:5D:E8:E4|2026-03-05T19:39:57+00:00,00:18:85:5D:E8:E4,UREC - NGA - NW,NGA UREC,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: UREC - NGA - NW (NGA UREC),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:5F:27:57|2026-03-05T19:39:57+00:00,00:18:85:5F:27:57,Union - 2F Ballroom,Student Union,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Union - 2F Ballroom (Student Union),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:5F:CE:C1|2026-03-05T19:39:57+00:00,00:18:85:5F:CE:C1,HP Long - W Face,HP Long Fieldhouse,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: HP Long - W Face (HP Long Fieldhouse),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:18:85:66:53:CB|2026-03-05T19:39:57+00:00,00:18:85:66:53:CB,HP Long - S Entrance,Huey P Long Fieldhouse,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: HP Long - S Entrance (Huey P Long Fieldhouse),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:40:8C:8B:5D:DC|2026-03-05T19:39:57+00:00,00:40:8C:8B:5D:DC,Union - No Video (blade),Student Union,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Union - No Video (blade) (Student Union),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:40:8C:8C:05:E9|2026-03-05T19:39:57+00:00,00:40:8C:8C:05:E9,Hill Mem - Rm 108,Hill Memorial Library,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Hill Mem - Rm 108 (Hill Memorial Library),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:40:8C:A3:03:4F|2026-03-05T19:39:57+00:00,00:40:8C:A3:03:4F,Cox - NW Stairwell,Cox Communications Academic Center,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Cox - NW Stairwell (Cox Communications Academic Center),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:40:8C:B1:6D:6E|2026-03-05T19:39:57+00:00,00:40:8C:B1:6D:6E,Herget Hall - RM 516,,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Herget Hall - RM 516 (Unknown location),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:40:8C:BF:9B:35|2026-03-05T19:39:57+00:00,00:40:8C:BF:9B:35,U-High - 2F MS S Hall,U-High School,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: U-High - 2F MS S Hall (U-High School),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
00:40:8C:BF:9B:49|2026-03-05T19:39:57+00:00,00:40:8C:BF:9B:49,U-High - 2F MS N Hall,U-High School,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: U-High - 2F MS N Hall (U-High School),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
1.1.accc8ea1b46d|2026-03-05T19:39:57+00:00,1.1.accc8ea1b46d,Riverbend - W Lounge,,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Riverbend - W Lounge (Unknown location),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
AC:CC:8E:0B:85:57|2026-03-05T19:39:57+00:00,AC:CC:8E:0B:85:57,Tgr St - South Stadium - Section 563,Tiger Stadium - S Stadium,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Tgr St - South Stadium - Section 563 (Tiger Stadium - S Stadium),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
AC:CC:8E:0B:97:05|2026-03-05T19:39:57+00:00,AC:CC:8E:0B:97:05,Tgr St - S Stadium - Suites 241 S,Tiger Stadium,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Tgr St - S Stadium - Suites 241 S (Tiger Stadium),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
AC:CC:8E:67:AD:1A|2026-03-05T19:39:57+00:00,AC:CC:8E:67:AD:1A,U-High - N Hall B,,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: U-High - N Hall B (Unknown location),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
AC:CC:8E:68:40:A4|2026-03-05T19:39:57+00:00,AC:CC:8E:68:40:A4,PFT - E Exterior North,Patrick F Taylor,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: PFT - E Exterior North (Patrick F Taylor),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
AC:CC:8E:6E:01:0D|2026-03-05T19:39:57+00:00,AC:CC:8E:6E:01:0D,FB Ops - Weight Rm Hall,FB Ops,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: FB Ops - Weight Rm Hall (FB Ops),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
AC:CC:8E:8F:76:CC|2026-03-05T19:39:57+00:00,AC:CC:8E:8F:76:CC,UREC - Court 2 Portal,UREC,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: UREC - Court 2 Portal (UREC),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
AC:CC:8E:8F:FA:B8|2026-03-05T19:39:57+00:00,AC:CC:8E:8F:FA:B8,Canal - 2F Lobby E,,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Canal - 2F Lobby E (Unknown location),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
AC:CC:8E:A1:6C:B6|2026-03-05T19:39:57+00:00,AC:CC:8E:A1:6C:B6,Brookshire - Break Room,Brookshire Student Center,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Brookshire - Break Room (Brookshire Student Center),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
AC:CC:8E:A1:98:A8|2026-03-05T19:39:57+00:00,AC:CC:8E:A1:98:A8,Delta - Courtyard,Delta Hall,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Delta - Courtyard (Delta Hall),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
AC:CC:8E:A1:A4:AC|2026-03-05T19:39:57+00:00,AC:CC:8E:A1:A4:AC,Spruce Hall - 1F Lobby,Spruce Hall,Offline (but still visible),2026-03-03T22:54:34+00:00,44.76,Pending Send,,,Camera Offline >24h: Spruce Hall - 1F Lobby (Spruce Hall),2026-03-05T19:39:57+00:00,,,,,,SMTP settings are incomplete.
